CarModel,Year,Engine,Fuel,Price,Milage
BMW Seria 6 640,2014,2 998 cm3,Diesel,33 500                    EUR,188 000 km
BMW Seria 7 740,2016,2 993 cm3,Diesel,50 500                    EUR,121 000 km
BMW Seria 7 750,2015,4 950 cm3,Benzina,49 000                    EUR,93 000 km
BMW Seria 5,2011,2 993 cm3,Diesel,16 000                    EUR,213 300 km
BMW X1,2016,1 995 cm3,Diesel,27 358                    EUR,57 640 km
BMW Seria 6 640,2013,2 993 cm3,Diesel,25 670                    EUR,178 000 km
BMW X1,2011,1 995 cm3,Diesel,8 990                    EUR,180 000 km
BMW Seria 5 F10,2015,1 995 cm3,Diesel,18 500                    EUR,191 746 km
BMW X1,2010,1 968 cm3,Benzina,10 490                    EUR,218 410 km
BMW Seria 3 320,2008,1 995 cm3,Diesel,6 250                    EUR,154 000 km
BMW Seria 5 520,2015,2 000 cm3,Diesel,26 970                    EUR,93 300 km
BMW Seria 5 520,2014,2 000 cm3,Diesel,16 590                    EUR,153 000 km
BMW Seria 5 525,2013,1 995 cm3,Diesel,17 200                    EUR,192 000 km
BMW X3,2015,2 995 cm3,Diesel,22 500                    EUR,147 220 km
BMW Seria 3 320,2013,1 995 cm3,Diesel,16 499                    EUR,91 000 km
BMW X3,2012,1 990 cm3,Diesel,16 900                    EUR,182 000 km
BMW Seria 3 320,2013,1 998 cm3,Diesel,11 990                    EUR,198 000 km
BMW X5,2015,2 995 cm3,Diesel,39 600                    EUR,114 000 km
BMW Seria 5 525,2011,2 990 cm3,Diesel,12 700                    EUR,247 000 km
BMW Seria 3 320,2012,1 998 cm3,Diesel,12 400                    EUR,244 000 km
BMW X6,2013,2 993 cm3,Diesel,25 990                    EUR,175 000 km
BMW X6,2017,2 993 cm3,Diesel,62 936                    EUR,8 300 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,20 100                    EUR,132 000 km
BMW X5,2015,2 993 cm3,Diesel,25 950                    EUR,170 040 km
BMW Seria 3 320,2013,1 995 cm3,Diesel,12 800                    EUR,155 700 km
BMW X3,2013,2 993 cm3,Diesel,22 500                    EUR,181 000 km
BMW Seria 5 530GT,2010,2 993 cm3,Diesel,14 863                    EUR,285 356 km
BMW Seria 5,2014,2 000 cm3,Diesel,14 950                    EUR,183 450 km
BMW Seria 6,2012,2 995 cm3,Diesel,22 900                    EUR,179 000 km
BMW Seria 5 525,2014,1 995 cm3,Diesel,19 250                    EUR,165 000 km
BMW Seria 3 320,2015,1 998 cm3,Diesel,17 490                    EUR,128 000 km
BMW Seria 5 518,2014,1 995 cm3,Diesel,16 648                    EUR,143 900 km
BMW Seria 3 320,2015,1 995 cm3,Diesel,23 681                    EUR,61 000 km
BMW Seria 5 530,2014,2 996 cm3,Diesel,24 500                    EUR,187 971 km
BMW Seria 5 520,2012,1 995 cm3,Diesel,12 300                    EUR,219 000 km
BMW Seria 5 520,2013,1 995 cm3,Diesel,14 950                    EUR,199 021 km
BMW X6,2016,2 996 cm3,Diesel,41 900                    EUR,136 000 km
BMW Seria 8,2018,2 993 cm3,Diesel,105 910                    EUR,300 km
BMW Seria 5 5GT,2014,2 000 cm3,Diesel,16 650                    EUR,198 600 km
BMW X5,2008,3 000 cm3,Diesel,10 990                    EUR,170 000 km
BMW X4,2017,1 987 cm3,Diesel,34 250                    EUR,37 000 km
BMW Seria 7 730,2010,2 998 cm3,Diesel,11 999                    EUR,229 000 km
BMW Seria 3 320,2014,1 995 cm3,Diesel,12 800                    EUR,250 000 km
BMW Seria 5 530,2006,3 000 cm3,Diesel,7 000                    EUR,231 000 km
BMW Seria 7 730,2012,2 993 cm3,Diesel,21 900                    EUR,180 000 km
BMW Seria 5 525,2006,2 497 cm3,Diesel,6 299                    EUR,251 000 km
BMW X3,2015,1 995 cm3,Diesel,22 790                    EUR,208 350 km
BMW Seria 7 730,2013,2 993 cm3,Diesel,24 700                    EUR,121 866 km
BMW X5,2011,3 000 cm3,Diesel,15 999                    EUR,90 000 km
BMW Seria 5 520,2015,1 995 cm3,Diesel,18 490                    EUR,149 080 km
BMW Seria 5 525,2004,2 500 cm3,Diesel,4 750                    EUR,315 254 km
BMW Seria 2,2016,1 496 cm3,Diesel,12 850                    EUR,75 631 km
BMW Seria 3 320,2007,1 995 cm3,Diesel,6 390                    EUR,203 000 km
BMW X6,2015,2 993 cm3,Diesel,37 980                    EUR,122 517 km
BMW Seria 5 520,2017,1 995 cm3,Diesel,43 911                    EUR,13 400 km
BMW X5,2014,2 998 cm3,Diesel,32 750                    EUR,139 000 km
BMW Seria 3 318,2010,1 995 cm3,Diesel,7 150                    EUR,205 000 km
BMW Seria 1 120,2015,1 998 cm3,Diesel,11 450                    EUR,144 000 km
BMW X6,2015,2 993 cm3,Diesel,39 999                    EUR,167 000 km
BMW Seria 5,2012,2 993 cm3,Diesel,17 999                    EUR,157 287 km
BMW Seria 5,2007,2 500 cm3,Diesel,6 999                    EUR,190 526 km
BMW Seria 3 320,2011,1 995 cm3,Diesel,7 900                    EUR,212 200 km
BMW Seria 7 730,2016,2 993 cm3,Diesel,52 500                    EUR,135 000 km
BMW X6,2015,2 993 cm3,Diesel,50 550                    EUR,155 000 km
BMW Seria 7 730,2015,2 993 cm3,Diesel,53 370                    EUR,123 000 km
BMW Seria 7 F01,2013,2 993 cm3,Diesel,22 900                    EUR,189 000 km
BMW Seria 7 750,2013,3 000 cm3,Diesel,29 500                    EUR,135 000 km
BMW Seria 7 740,2013,2 996 cm3,Diesel,25 499                    EUR,245 000 km
BMW Seria 3 320,2008,1 995 cm3,Diesel,5 490                    EUR,197 000 km
BMW Seria 3 320,2009,1 995 cm3,Diesel,5 650                    EUR,220 000 km
BMW Seria 1 116,2006,1 600 cm3,Benzina,3 999                    EUR,202 800 km
BMW Seria 6 635,2008,2 993 cm3,Diesel,10 850                    EUR,251 000 km
BMW Seria 1 116,2017,1 995 cm3,Diesel,16 799                    EUR,12 140 km
BMW Seria 3 320,2014,1 995 cm3,Diesel,17 610                    EUR,140 165 km
BMW Seria 5 535,2012,2 993 cm3,Diesel,18 950                    EUR,248 000 km
BMW X1,2011,2 000 cm3,Diesel,14 000                    EUR,114 500 km
BMW Seria 5 520,2012,2 000 cm3,Diesel,14 960                    EUR,178 400 km
BMW X5,2015,3 000 cm3,Diesel,33 250                    EUR,174 200 km
BMW Seria 5 520,2012,1 998 cm3,Diesel,13 950                    EUR,188 000 km
BMW X5,2011,2 997 cm3,Diesel,16 400                    EUR,252 000 km
BMW X3,2015,1 995 cm3,Diesel,21 750                    EUR,149 000 km
BMW Seria 1 120,2015,1 995 cm3,Diesel,9 780                    EUR,176 446 km
BMW Seria 5 535,2013,2 993 cm3,Diesel,23 950                    EUR,170 550 km
BMW X5,2015,2 995 cm3,Diesel,34 750                    EUR,195 000 km
BMW Seria 3 320,2012,1 995 cm3,Diesel,10 900                    EUR,200 000 km
