Model,Year,HorsePower,Fuel,Mileage,Transmission,Price
BMW 340i M Sport FullLed Harman HeadUp Kamera PDC,2016,240 kW (326 CP),Benzina, 12.000 km,manuala,29.990 EUR (brut)
BMW 335i M-Paket HeadUp 4xSitzh. 360°-Kamera PDC,2013,225 kW (306 CP),Benzina, 22.000 km,automata,24.990 EUR (brut)
BMW 335i M-Paket FullLed HeadUp PDC Navi 20 Zoll,2014,225 kW (306 CP),Benzina, 66.000 km,automata,26.990 EUR (brut)
BMW 328i xDrive Aut. M-Performance Bi-Xenon PDC Navi,2015,180 kW (245 CP),Benzina, 42.000 km,automata,24.990 EUR (brut)
BMW 328i xDrive Aut. M-Paket Bi-Xenon Navi PDC Sitzh,2015,180 kW (245 CP),Benzina, 44.000 km,automata,23.490 EUR (brut)
BMW 320i-MOD-2006*XENON*KLIMA*SHZ*PDC*ALU*71TKM!TOP!,2005,110 kW (150 CP),Benzina, 71.000 km,manuala,6.800 EUR (brut)
BMW 320d DPF Aut. *Motorschaden*,2006,120 kW (163 CP),Diesel, 116.999 km,automata,3.750 EUR (brut)
BMW 320 GT Gran Turismo LED*NavProff*Leder*Panorama,2018,140 kW (190 CP),Diesel, 8.800 km,manuala,14.700 EUR (brut) 12.353 EUR (net)
BMW 318 318i,2010,105 kW (143 CP),Benzina, 66.527 km,manuala,4.970 EUR (brut)
"BMW 318d Gran Turismo LEDER,NAVI-PROF,XENON,AUT,EU6",2015,100 kW (136 CP),Diesel, 141.000 km,automata,16.300 EUR (brut) 13.697 EUR (net)
"BMW 316dA * KLIMATRONIC *GPS* ALU * EXP. 12200,-EUR",2016,85 kW (116 CP),Diesel, 125.000 km,automata,14.518 EUR (brut) 12.200 EUR (net)
BMW 320d M-Sportpaket Head-Up Navi Prof Glasdach Xen,2013,135 kW (184 CP),Diesel, 72.700 km,manuala,19.900 EUR (brut)
BMW 320d Sport- Aut. Gran Turismo *NAVIPROF*AHK*HIFI,2015,140 kW (190 CP),Diesel, 186.000 km,automata,14.950 EUR (brut) 12.563 EUR (net)
"BMW 318 Gran Turismo,LEDER,NAVI,PDC,EU6,1HAND,TOP!!!",2015,100 kW (136 CP),Diesel, 140.000 km,manuala,14.300 EUR (brut) 12.017 EUR (net)
BMW 328i Aut. Sport Leder Navi Kamera,2016,180 kW (245 CP),Benzina, 47.700 km,automata,21.300 EUR (brut)
BMW 335d xDrive Lim. Edition Sport Line NaviProf*HUD,2018,230 kW (313 CP),Diesel, 11.482 km,automata,44.990 EUR (brut) 37.807 EUR (net)
BMW 320d *LEDER *XENON *NAVI *ALU,2005,120 kW (163 CP),Diesel, 228.498 km,manuala,4.750 EUR (brut)
BMW 320d xDrive Luxury Line PDC SHZ LEDER H/K NAVI,2016,140 kW (190 CP),Diesel, 121.610 km,automata,19.990 EUR (brut) 16.798 EUR (net)
BMW 320d xDrive,2009,130 kW (177 CP),Diesel, 242.000 km,manuala,7.200 EUR (brut)
BMW 318i  NAVI*XENON*WR*SH*,2011,105 kW (143 CP),Benzina, 116.450 km,manuala,8.990 EUR (brut)
BMW 318d Limousine Advantage LED Tempomat AHK USB,2018,110 kW (150 CP),Diesel, 3.596 km,automata,25.404 EUR (brut) 21.348 EUR (net)
BMW 320d DPF Aut.,2005,120 kW (163 CP),Diesel, 400.000 km,automata,4.300 EUR (brut)
BMW 328i xDrive Aut. LEDER/NAVI/SCHIEBEDACH/,2014,180 kW (245 CP),Benzina, 138.500 km,automata,18.500 EUR (brut)
BMW 335i xDrive Sport-Aut. M Paket,2014,225 kW (306 CP),Benzina, 34.850 km,automata,33.590 EUR (brut)
BMW 330d Aut. M-Sport LEDER NAVI XENON PDC TÃœV NEU,2011,180 kW (245 CP),Diesel, 99.000 km,automata,17.499 EUR (brut)
BMW 320d DPF,2010,135 kW (184 CP),Diesel, 138.120 km,manuala,9.000 EUR (brut)
BMW 318 i a  XENON*LEDER*PDC*ALU*MFL*TOP!,2009,105 kW (143 CP),Benzina, 113.998 km,automata,9.999 EUR (brut)
BMW 318d Klimaautomatik PDC BC Start/Stop CD Sitzhzg,2011,105 kW (143 CP),Diesel, 124.400 km,manuala,8.480 EUR (brut)
BMW 320d xDrive Aut M Sport Navi Pro SHZ LED NSW PDC,2015,140 kW (190 CP),Diesel, 80.000 km,automata,22.470 EUR (brut) 18.882 EUR (net)
BMW 328i xDrive SPORT-AUTOMATIK| M SPORTPAKET|NAVI,2015,180 kW (245 CP),Benzina, 39.801 km,automata,27.870 EUR (brut)
BMW 316d Klimaautomatik/Sitzheizung,2012,85 kW (116 CP),Diesel, 95.000 km,manuala,11.999 EUR (brut)
BMW 318i *Bi-Xenon*T-Leder*Sport*SHZ*8-Fach*,2009,105 kW (143 CP),Benzina, 138.000 km,manuala,8.950 EUR (brut)
BMW 320d LIMO PDC KLIMA AUX 2.HAND *RATE 49‚¬/MONAT,2005,120 kW (163 CP),Diesel, 222.980 km,manuala,4.490 EUR (brut)
BMW 320d AUT NAVI PROF LEDER XENON SHZ PDC RATE 139‚¬,2010,135 kW (184 CP),Diesel, 132.900 km,automata,12.890 EUR (brut)
BMW 320xd M-Paket Panoram Xenon Navi Head-Up Kamera,2016,140 kW (190 CP),Diesel, 46.500 km,automata,11.200 EUR (brut)
BMW 320,2012,184 kW (250 CP),Diesel, 202.000 km,automata,11.000 EUR (brut)
BMW 330 xd cat Futura UNIPRO,2007,170 kW (231 CP),Diesel, 190.000 km,automata,6.990 EUR (brut)
BMW 325i Aut.,2006,160 kW (218 CP),Benzina, 200.400 km,automata,9.600 EUR (brut)
BMW 335 Gran Turismo xDrive GT M-Sportpaket,2016,230 kW (313 CP),Diesel, 47.700 km,automata,34.750 EUR (brut) 29.202 EUR (net)
BMW 320d EDE Sport Line*Xenon*Navi*Lenkradh.*PDC*,2014,120 kW (163 CP),Diesel, 75.591 km,manuala,16.950 EUR (brut) 14.244 EUR (net)
BMW 320d Aut.*LED-Scheinw.*GSHD*Navi-B*PDC*,2015,140 kW (190 CP),Diesel, 129.498 km,manuala,16.650 EUR (brut) 13.992 EUR (net)
BMW 320D A,2017,140 kW (190 CP),Diesel, 16.400 km,automata,29.900 EUR (brut) 25.126 EUR (net)
"BMW 320i - Inspektionswert 1111,00 ‚¬",2005,110 kW (150 CP),Benzina, 149.854 km,automata,7.999 EUR (brut)
BMW 318i Start-Stopp Automatik,2008,105 kW (143 CP),Benzina, 146.800 km,manuala,5.111 EUR (brut)
BMW 320d Limousine M Sport Head-Up HK HiFi DAB GSD E,2018,140 kW (190 CP),Diesel, 18.528 km,automata,52.890 EUR (brut) 44.445 EUR (net)
BMW 316Diesel - accettiamo permute -,2013,85 kW (116 CP),Diesel, 126.617 km,manuala,15.800 EUR (brut)
BMW 320 Gran Turismo,2014,135 kW (184 CP),Diesel, 140.000 km,automata,19.999 EUR (brut)
BMW 320 i Aut M Sport Leder 18''LED Navi PDCv+h SHZ,2018,135 kW (184 CP),Benzina, 15.634 km,automata,32.975 EUR (brut) 27.710 EUR (net)
BMW 325i e90 - Vollausstattung *Sonderpreis*,2005,160 kW (218 CP),Benzina, 170.000 km,manuala,7.100 EUR (brut)
